symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
EXC,2022-12-31,3M,81176467956.0,48.81327,17.393715,18.2482,42959467956.0,1.748052,20.985437,2.5334,1.141831,EXC
EXC,2023-03-31,3M,81305495326.0,39.183371,14.615405,17.7305,41662495326.0,1.683741,20.281864,9.6404,2.29073,EXC
EXC,2023-06-30,3M,81807230004.0,47.840485,16.9795,17.2414,40545230004.0,1.617539,18.026549,2.5578,2.097895,EXC
EXC,2023-09-30,3M,79833333379.0,38.124801,13.350056,14.9925,37609333379.0,1.499634,17.684819,2.2255,1.890676,EXC
EXPE,2020-04-07,TTM,,,,,,,14.98939,,,EXPE
EXPE,2021-02-11,TTM,,,,208.3333,,,,31.9586,,EXPE
EXPE,2022-09-30,3M,16128454410.0,16.941654,4.456605,10.7991,14661454410.0,7.676154,39.0375,0.2023,1.357153,EXPE
EXPE,2022-12-31,3M,15588560737.0,35.268237,5.954378,10.4493,13673560737.0,5.920339,29.694915,0.2001,1.239341,EXPE
EXPE,2023-03-31,3M,16924367210.0,88.147746,6.350607,10.929,14516367210.0,6.358461,44.714286,0.6862,1.345222,EXPE
EXPE,2023-06-30,3M,16396791120.0,22.647502,4.882904,11.7371,15796791120.0,8.622703,54.695,0.7382,1.455565,EXPE
EXPE,2023-09-30,3M,15024592619.0,21.042847,3.824025,8.726,14776592619.0,8.194856,18.146127,0.5315,1.349729,EXPE
EXR,2022-09-30,3M,29696287170.0,80.140242,59.523287,26.6667,23128984170.0,7.223022,26.010542,4.5486,13.809714,EXR
EXR,2022-12-31,3M,26850945491.0,71.085022,52.989918,23.31,19710570491.0,6.063703,21.361393,3.9707,11.272902,EXR
EXR,2023-03-31,3M,29464365130.0,79.253218,58.571444,26.9542,21996736130.0,6.748299,25.418097,7.5423,11.996938,EXR
EXR,2023-06-30,3M,27621618818.0,71.418721,54.013248,24.57,20103516818.0,6.17936,23.440945,6.8894,10.656993,EXR
EXR,2023-09-30,3M,33357434113.0,68.178664,44.593473,14.5985,25686997113.0,7.889665,19.866013,8.4428,8.579581,EXR
XOM,2020-12-18,TTM,,,,,,,54.782051,,,XOM
