,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,Ticker,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,earningsGrowth
0,86400,56.14,buy,952000000.0,0.65,3503000064,9299000320.0,0.667,1.42,13756999680,48.612,9.522,0.044060003,0.0668,8679000000.0,1868749952.0,2352999936.0,0.113,0.69056,0.25463,0.17267,0.08926,USD,BSX,67.0,55.0,60.62,60.0,1.7,29.0,1.833
0,86400,50.1,hold,7685000192.0,3.777,18268000256,39323000832.0,0.994,1.178,44935000064,135.307,21.505,0.0559,0.26872,36378000000.0,12515375104.0,12913999872.0,-0.022,0.77009004,0.40654,0.19187,0.18438,USD,BMY,82.63,45.91,58.05,55.09,2.6,22.0,0.24
0,86400,930.0,buy,11105000448.0,27.019,20329000960,40456998912.0,2.038,2.496,35454001152,166.032,85.586,0.1417,0.64757,24947000000.0,13815874560.0,17840001024.0,0.164,0.74274004,0.57339,0.31765,0.39254,USD,AVGO,1101.72,807.01,926.68,918.1,2.0,23.0,1.881
0,86400,195.4,buy,234700000.0,1.995,1433100032,3913900032.0,1.246,1.436,6208699904,185.256,52.705,0.07713,0.33418,1785400000.0,798350016.0,965800000.0,0.115,0.29770002,0.23082,0.103769995,0.10809,USD,BR,226.0,164.0,191.0,191.5,2.5,6.0,0.81
0,86400,74.14,buy,768899968.0,2.702,1349500032,3931399936.0,0.563,1.055,4093799936,75.623,14.673,0.051820002,0.15711,1750000000.0,872862528.0,985699968.0,0.135,0.48494998,0.32964,0.28751,0.18247,USD,BRO,85.0,73.0,79.6,79.0,2.5,10.0,0.087
0,86400,109.21,buy,2295000064.0,15.796,3491000064,5993999872.0,0.631,2.016,61263998976,53.777,408.591,0.07689,0.19990999,3918000000.0,1608999936.0,1342000000.0,-0.151,0.07445,0.05698,0.044699997,0.03204,USD,BG,161.0,114.0,134.67,135.0,2.0,9.0,-0.008
0,86400,83.26,hold,174732992.0,1.498,688865984,1952118016.0,1.065,1.117,18441377792,138.982,155.382,0.064559996,0.2533,1891731000.0,1250900480.0,1457997056.0,-0.278,0.06837,0.03735,0.02612,0.021170001,USD,CHRW,111.0,60.0,85.91,85.0,3.2,23.0,-0.618
0,86400,270.35,buy,961982016.0,3.536,1288402048,648801024.0,1.11,1.443,3921240064,20.836,14.548,0.13795,0.32897,3190095000.0,985692352.0,1340720000.0,0.134,0.89176005,0.32856998,0.30181998,0.24422,USD,CDNS,307.0,248.0,276.21,267.5,1.7,14.0,0.368
0,86400,46.75,buy,841000000.0,3.899,3833999872,25891999744.0,0.545,0.726,11523999744,546.014,53.662,0.04856,0.16725,5420000000.0,719500032.0,1824999936.0,0.037,0.53888,0.3327,0.23747,0.06161,USD,CZR,78.0,48.0,62.57,63.5,2.2,14.0,0.417
0,86400,92.62,buy,14600000.0,0.137,890572032,3659527936.0,0.059,0.079,1534348032,74.155,14.129,0.02161,0.04657,905813000.0,708162112.0,771152000.0,0.047,0.62686,0.58042,0.21529,0.14774,USD,CPT,141.0,80.0,106.89,103.0,2.4,18.0,0.63
